Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Odsonne Édouard,fr FRA,FW,27-127,0.3,2,6.21,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jake Evans,,FW,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Will Alves,eng ENG,FW,20-109,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Michael Golding,eng ENG,MF,19-000,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.4,37.0,580,15.68,424,49,43,25,34,5,56,1.51,37,4,6,5,4,0,
Opponent Total,,,27.1,37.0,1100,29.73,804,85,66,75,45,25,132,3.57,103,7,5,12,5,0,
Dara O'Shea,ie IRL,DF,26-080,33.7,24,0.71,19,0,0,2,2,1,4,0.12,4,0,0,0,0,0,Matches
Liam Delap,eng ENG,FW,22-104,28.6,62,2.17,28,0,12,7,13,2,7,0.25,3,0,2,0,2,0,Matches
Leif Davis,eng ENG,DF,25-131,29.5,90,3.05,45,37,3,3,1,1,4,0.14,3,0,1,0,0,0,Matches
Sam Morsy,eg EGY,MF,33-255,29.6,50,1.69,45,4,0,0,1,0,2,0.07,2,0,0,0,0,0,Matches
Omari Hutchinson,eng ENG,"MF,FW",21-205,27.7,78,2.82,57,0,9,5,5,2,6,0.22,6,0,0,0,0,0,Matches
Jacob Greaves,eng ENG,DF,24-253,23.5,17,0.72,14,1,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Jens Cajuste,se SWE,MF,25-286,20.9,33,1.58,26,2,4,0,0,1,1,0.05,0,0,1,0,0,0,Matches
Axel Tuanzebe,cd COD,DF,27-190,18.0,17,0.94,15,1,0,0,1,0,2,0.11,2,0,0,0,0,0,Matches
Arijanet Muric,xk KVX,GK,26-197,18.0,1,0.06,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cameron Burgess,au AUS,DF,29-214,17.1,14,0.82,14,0,0,0,0,0,3,0.18,3,0,0,0,0,0,Matches
Ben Johnson,eng ENG,"DF,FW",25-119,15.0,24,1.6,12,9,0,1,2,0,5,0.33,4,0,0,1,0,0,Matches
Kalvin Phillips,eng ENG,MF,29-172,13.7,17,1.24,13,3,0,1,0,0,3,0.22,3,0,0,0,0,0,Matches
Alex Palmer,eng ENG,GK,28-286,13.0,3,0.23,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sammie Szmodics,ie IRL,"FW,MF",29-241,10.9,9,0.83,7,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Luke Woolfenden,eng ENG,DF,26-214,13.2,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jack Clarke,eng ENG,"FW,MF",24-181,12.9,48,3.73,41,2,3,0,0,2,5,0.39,4,1,0,0,0,0,Matches
Wes Burns,wls WAL,"FW,DF",30-181,10.3,16,1.55,12,0,1,1,2,0,1,0.1,1,0,0,0,0,0,Matches
Julio Enciso,py PAR,"MF,FW",21-120,9.7,29,3.0,16,4,6,2,0,1,4,0.41,2,1,1,0,0,0,Matches
Conor Chaplin,eng ENG,"MF,FW",28-096,8.8,21,2.4,19,2,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
Nathan Broadhead,wls WAL,"MF,FW",27-048,6.9,19,2.74,14,0,5,0,0,0,2,0.29,1,0,1,0,0,0,Matches
Christian Walton,eng ENG,GK,29-195,6.0,2,0.33,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaden Philogene Bidace,eng ENG,"FW,DF",23-104,5.3,9,1.71,6,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Jack Taylor,ie IRL,MF,26-334,9.4,22,2.34,15,1,2,2,0,2,2,0.21,2,0,0,0,0,0,Matches
George Hirst,sct SCO,FW,26-097,6.6,8,1.21,7,0,0,1,0,0,3,0.45,2,0,0,1,0,0,Matches
Harry Clarke,eng ENG,DF,24-082,4.2,1,0.24,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Conor Townsend,eng ENG,DF,32-080,3.7,5,1.34,4,1,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
Chiedozie Ogbene,ie IRL,FW,28-022,2.6,3,1.13,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Massimo Luongo,au AUS,MF,32-240,2.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Godfrey,eng ENG,DF,27-128,1.8,1,0.57,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ali Al Hamadi,iq IRQ,FW,23-083,1.5,8,5.37,4,0,3,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Marcus Harness,eng ENG,MF,29-088,0.5,2,4.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
George Edmundson,eng ENG,DF,27-265,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,37.0,635,17.16,445,69,50,28,30,13,56,1.51,44,2,6,2,2,0,
Opponent Total,,,27.0,37.0,1062,28.7,821,67,62,64,33,15,137,3.7,103,7,7,12,7,1,
Kyle Walker-Peters,eng ENG,DF,28-040,32.4,63,1.94,40,3,10,5,3,2,7,0.22,5,0,1,1,0,0,Matches
Mateus Fernandes,pt POR,MF,20-317,31.3,73,2.33,42,13,5,6,6,1,6,0.19,4,1,0,0,0,1,Matches
Taylor Harwood-Bellis,eng ENG,DF,23-113,31.4,37,1.18,32,0,0,3,1,1,2,0.06,1,0,0,1,0,0,Matches
Jan Bednarek,pl POL,DF,29-041,28.1,16,0.57,15,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Aaron Ramsdale,eng ENG,GK,27-009,29.0,3,0.1,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Flynn Downes,eng ENG,MF,26-123,22.9,31,1.35,27,2,0,1,0,1,2,0.09,1,1,0,0,0,0,Matches
Joe Aribo,ng NGA,"MF,DF",28-306,22.4,37,1.66,32,0,2,1,2,0,1,0.04,1,0,0,0,0,0,Matches
Tyler Dibling,eng ENG,"FW,MF",19-072,20.8,56,2.69,34,1,11,5,5,0,4,0.19,2,0,1,1,0,0,Matches
Ryan Manning,ie IRL,"DF,MF",28-343,16.2,50,3.08,25,22,0,1,1,1,3,0.18,0,2,0,0,1,0,Matches
Lesley Ugochukwu,fr FRA,MF,21-058,17.4,23,1.32,19,0,1,1,2,0,1,0.06,0,0,0,1,0,0,Matches
Jack Stephens,eng ENG,DF,31-116,15.4,13,0.84,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kamaldeen Sulemana,gh GHA,"FW,MF",23-097,14.7,28,1.9,15,1,9,2,1,0,3,0.2,1,0,1,1,0,0,Matches
Yukinari Sugawara,jp JPN,"DF,MF",24-329,16.3,39,2.39,30,5,1,3,0,0,1,0.06,1,0,0,0,0,0,Matches
Adam Armstrong,eng ENG,"FW,MF",28-102,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
Cameron Archer,eng ENG,FW,23-306,15.9,20,1.26,10,0,4,5,1,0,0,0.0,0,0,0,0,0,0,Matches
James Bree,eng ENG,DF,27-224,11.9,16,1.34,13,2,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
Paul Onuachu,ng NGA,FW,30-360,11.4,9,0.79,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Nathan Wood-Gordon,eng ENG,DF,22-357,7.6,3,0.4,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
William Smallbone,ie IRL,MF,25-091,7.5,16,2.12,12,3,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Alex McCarthy,eng ENG,GK,35-171,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Welington,br BRA,"DF,MF",24-093,4.4,7,1.61,6,1,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Adam Lallana,eng ENG,MF,37-013,4.0,9,2.24,8,0,0,0,1,0,2,0.5,2,0,0,0,0,0,Matches
Ben Brereton,cl CHI,FW,26-035,5.0,9,1.8,7,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Ryan Fraser,sct SCO,"FW,DF",31-088,3.4,5,1.47,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ross Stewart,sct SCO,FW,28-316,3.6,4,1.13,1,0,1,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Joe Lumley,eng ENG,GK,30-097,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Armel Bella Kotchap,de GER,DF,23-163,3.7,2,0.54,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Charlie Taylor,eng ENG,DF,31-247,3.0,2,0.68,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
Albert Grønbaek,dk DEN,"FW,MF",24-000,1.6,2,1.26,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Maxwel Cornet,ci CIV,FW,28-238,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Samuel Edozie,eng ENG,"DF,FW",22-115,0.7,4,5.54,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Jay Robinson,eng ENG,"FW,MF",18-069,0.7,5,7.63,3,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Samuel Amo-Ameyaw,eng ENG,"FW,DF",18-309,0.3,2,6.43,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Ronnie Edwards,eng ENG,DF,22-056,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Alcaraz,ar ARG,MF,22-174,0.1,1,9.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joachim Kayi Sanda,fr FRA,DF,18-175,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.1,37.0,604,16.32,423,55,48,44,27,7,40,1.08,23,4,3,8,1,1,
Opponent Total,,,27.1,37.0,1164,31.46,839,82,67,87,51,38,140,3.78,91,12,10,14,7,6,
