Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Tomáš Souček,cz CZE,MF,30-085,27.5,44,1.6,35,0,0,6,2,1,3,0.11,2,0,0,0,1,0,Matches
Lucas Paquetá,br BRA,"MF,FW",27-269,26.3,82,3.12,68,2,2,4,5,1,6,0.23,3,0,0,2,1,0,Matches
Emerson Palmieri,it ITA,DF,30-293,23.5,41,1.75,25,11,0,2,2,1,2,0.09,1,1,0,0,0,0,Matches
Alphonse Areola,fr FRA,GK,32-085,25.1,3,0.12,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Konstantinos Mavropanos,gr GRE,DF,27-163,21.7,16,0.74,12,0,1,2,0,1,0,0.0,0,0,0,0,0,0,Matches
Jean-Clair Todibo,fr FRA,DF,25-144,19.3,5,0.26,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Edson Álvarez,mx MEX,MF,27-211,18.8,28,1.49,24,0,2,1,1,0,2,0.11,2,0,0,0,0,0,Matches
Guido Rodríguez,ar ARG,MF,31-041,12.6,11,0.87,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Carlos Soler,es ESP,"MF,FW",28-141,15.6,51,3.26,31,9,2,5,3,1,2,0.13,2,0,0,0,0,0,Matches
Łukasz Fabiański,pl POL,GK,40-035,11.9,3,0.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Vladimír Coufal,cz CZE,DF,32-274,11.6,18,1.55,14,4,0,0,0,0,1,0.09,0,1,0,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,30-203,10.7,31,2.91,16,11,0,3,0,1,1,0.09,0,1,0,0,0,0,Matches
Michail Antonio,jm JAM,FW,35-056,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches
Aaron Cresswell,eng ENG,DF,35-159,9.1,15,1.64,7,8,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Crysencio Summerville,nl NED,"FW,MF",23-205,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0,Matches
Oliver Scarles,eng ENG,DF,19-162,6.6,5,0.76,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Niclas Füllkrug,de GER,FW,32-103,8.0,20,2.5,18,0,0,2,0,0,2,0.25,1,0,0,1,0,0,Matches
Danny Ings,eng ENG,"FW,MF",32-304,3.2,12,3.8,7,0,1,3,1,0,2,0.63,0,0,0,1,1,0,Matches
Andy Irving,sct SCO,MF,25-010,1.8,5,2.68,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Evan Ferguson,ie IRL,FW,20-216,1.7,4,2.31,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Guilherme,br BRA,"MF,FW",19-103,1.7,10,6.0,6,1,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Lewis Orford,eng ENG,MF,19-094,0.5,2,3.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kaelan Casey,eng ENG,DF,20-207,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.9,37.0,797,21.54,566,69,47,64,34,17,62,1.68,37,5,3,13,3,1,
Opponent Total,,,27.0,37.0,1018,27.51,784,78,29,64,45,18,97,2.62,67,7,6,8,6,3,
André Onana,cm CMR,GK,29-051,34.0,4,0.12,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Fernandes,pt POR,MF,30-257,32.5,181,5.56,127,35,5,6,6,2,12,0.37,9,2,0,1,0,0,Matches
Noussair Mazraoui,ma MAR,DF,27-190,31.3,52,1.66,42,2,1,2,3,2,1,0.03,1,0,0,0,0,0,Matches
Diogo Dalot,pt POR,DF,26-066,31.0,74,2.39,57,5,7,4,0,1,5,0.16,3,0,1,1,0,0,Matches
Matthijs de Ligt,nl NED,DF,25-284,23.6,14,0.59,12,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
Alejandro Garnacho,ar ARG,"MF,FW",20-326,24.4,83,3.4,64,1,3,9,6,0,6,0.25,4,0,0,1,1,0,Matches
Rasmus Højlund,dk DEN,FW,22-108,21.4,33,1.54,21,0,3,5,4,0,1,0.05,0,0,0,0,1,0,Matches
Manuel Ugarte Ribeiro,uy URU,MF,24-042,19.8,31,1.56,24,0,0,2,2,3,4,0.2,3,0,0,1,0,0,Matches
Lisandro Martínez,ar ARG,DF,27-125,19.5,26,1.34,23,0,0,2,0,1,2,0.1,2,0,0,0,0,0,Matches
Amad Diallo,ci CIV,"MF,FW",22-316,20.1,93,4.62,62,9,10,3,5,4,17,0.84,7,0,4,1,1,4,Matches
Kobbie Mainoo,eng ENG,MF,20-034,17.8,31,1.74,26,0,4,0,1,0,2,0.11,2,0,0,0,0,0,Matches
Harry Maguire,eng ENG,DF,32-079,18.5,19,1.02,13,1,0,5,0,0,0,0.0,0,0,0,0,0,0,Matches
Casemiro,br BRA,MF,33-089,15.6,49,3.14,45,1,0,3,0,0,3,0.19,3,0,0,0,0,0,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-001,15.6,31,1.99,28,0,0,2,1,0,3,0.19,1,0,0,1,1,0,Matches
Leny Yoro,fr FRA,DF,19-191,12.9,9,0.7,6,0,0,2,0,1,0,0.0,0,0,0,0,0,0,Matches
Marcus Rashford,eng ENG,"FW,MF",27-204,10.9,29,2.67,24,1,2,2,0,0,1,0.09,1,0,0,0,0,0,Matches
Christian Eriksen,dk DEN,MF,33-098,11.5,52,4.51,35,14,0,3,0,0,7,0.61,5,2,0,0,0,0,Matches
Patrick Dorgu,dk DEN,DF,20-209,8.4,16,1.91,13,0,0,0,2,1,1,0.12,0,0,0,0,1,0,Matches
Mason Mount,eng ENG,MF,26-133,6.2,18,2.91,12,2,0,3,1,0,0,0.0,0,0,0,0,0,0,Matches
Victor Lindelöf,se SWE,DF,30-310,6.8,4,0.59,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luke Shaw,eng ENG,DF,29-315,3.9,10,2.58,8,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Harry Amass,eng ENG,DF,18-068,3.8,8,2.08,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jonny Evans,nir NIR,DF,37-140,3.2,2,0.62,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Altay Bayındır,tr TUR,GK,27-039,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tyler Fredricson,eng ENG,DF,20-089,1.8,3,1.63,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tyrell Malacia,nl NED,DF,25-279,1.1,2,1.8,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Chidozie Obi-Martin,dk DEN,FW,17-175,1.7,2,1.16,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Ayden Heaven,eng ENG,DF,18-243,1.2,2,1.71,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Toby Collyer,eng ENG,MF,21-140,2.0,5,2.5,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Antony,br BRA,"DF,MF",25-088,1.6,8,5.11,6,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Scott McTominay,sct SCO,MF,28-166,0.2,1,4.74,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.3,37.0,892,24.11,672,74,38,59,34,15,66,1.78,42,4,5,6,5,4,
Opponent Total,,,27.2,37.0,706,19.08,492,64,50,52,38,10,86,2.32,61,6,5,9,4,1,
Pedro Porro,es ESP,DF,25-252,28.0,107,3.82,71,23,3,5,4,1,8,0.29,4,3,1,0,0,0,Matches
Dejan Kulusevski,se SWE,"MF,FW",25-028,26.5,128,4.82,95,12,15,3,3,0,9,0.34,7,1,1,0,0,0,Matches
Dominic Solanke,eng ENG,FW,27-251,23.7,37,1.56,25,0,0,9,2,1,8,0.34,6,0,0,1,1,0,Matches
Son Heung-min,kr KOR,FW,32-319,23.4,117,4.99,87,8,10,7,5,0,15,0.64,13,0,0,1,1,0,Matches
Brennan Johnson,wls WAL,FW,24-000,23.2,46,1.98,30,0,6,4,5,1,7,0.3,5,0,1,0,1,0,Matches
Guglielmo Vicario,it ITA,GK,28-228,23.0,4,0.17,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
